time,id,x,y,z,rad,timeLife,mass,temp,charge
15,6,6.20427,3.45477,7.89402,0.458518,3.5,0.210239,481.992,0.376469
15,7,5.95614,1.11004,8.62837,0.378484,3,0.14325,271.09,0.71371
15,8,4.91159,3.52916,4.67813,0.480182,2.5,0.230574,553.588,-0.369609
15,9,4.84936,1.63469,5.88018,0.35498,2,0.126011,223.656,0.81381
15,10,5.28848,1.4169,4.73014,0.127635,1.5,0.0162907,10.3963,0.737633
15,11,5.07104,1.04192,5.58942,0.240326,1,0.0577568,69.4024,-0.442592
15,12,5,1,5,0.0037065,0.5,1.37382e-05,0.000254602,0.504834
15.5,0,8.48918,9.16559,9.03736,0.292101,13.5,0.0853233,124.615,0.320748
15.5,1,3.56912,6.92266,5.66141,0.571455,12.5,0.326561,933.075,0.397251
15.5,2,2.3057,4.57801,6.14528,0.048464,6.5,0.00234876,0.569152,0.0566974
15.5,3,4.51318,4.00344,5.72128,0.723298,6,0.52316,1892,-0.909703
15.5,4,6.40498,3.8639,8.37636,0.458518,4,0.210239,481.992,0.376469
15.5,5,6.14737,1.13205,9.35404,0.378484,3.5,0.14325,271.09,0.71371
15.5,6,4.88948,4.16144,4.59766,0.480182,3,0.230574,553.588,-0.369609
15.5,7,4.79914,1.84625,6.17357,0.35498,2.5,0.126011,223.656,0.81381
15.5,8,5.43272,1.62535,4.59521,0.127635,2,0.0162907,10.3963,0.737633
15.5,9,5.14207,1.08385,6.17884,0.240326,1.5,0.0577568,69.4024,-0.442592
15.5,10,5,1,4.99999,0.474101,1,0.224772,532.824,-0.42072
16,0,8.62875,9.49221,9.19885,0.292101,14,0.0853233,124.615,0.320748
16,1,3.50889,7.17669,5.69087,0.571455,13,0.326561,933.075,0.397251
16,2,2.08118,4.87617,6.24072,0.048464,7,0.00234876,0.569152,0.0566974
16,3,4.44936,4.32417,5.79749,0.723298,6.5,0.52316,1892,-0.909703
16,4,6.60569,4.27303,8.8587,0.458518,4.5,0.210239,481.992,0.376469
16,5,4.86738,4.79373,4.5172,0.480182,3.5,0.230574,553.588,-0.369609
16,6,4.74893,2.05781,6.46696,0.35498,3,0.126011,223.656,0.81381
16,7,5.57696,1.8338,4.46028,0.127635,2.5,0.0162907,10.3963,0.737633
16,8,5.21311,1.12577,6.76827,0.240326,2,0.0577568,69.4024,-0.442592
16,9,5.23878,1.26035,5.36989,0.474101,1.5,0.224772,532.824,-0.42072
16,10,5,1,5,0.117582,0.5,0.0138256,8.12826,0.398853
16.5,0,3.44866,7.43072,5.72033,0.571455,13.5,0.326561,933.075,0.397251
16.5,1,1.85665,5.17434,6.33616,0.048464,7.5,0.00234876,0.569152,0.0566974
16.5,2,4.38554,4.6449,5.87369,0.723298,7,0.52316,1892,-0.909703
16.5,3,6.8064,4.68216,9.34103,0.458518,5,0.210239,481.992,0.376469
16.5,4,4.84527,5.42602,4.43673,0.480182,4,0.230574,553.588,-0.369609
16.5,5,4.69872,2.26937,6.76036,0.35498,3.5,0.126011,223.656,0.81381
16.5,6,5.7212,2.04225,4.32536,0.127635,3,0.0162907,10.3963,0.737633
16.5,7,5.28415,1.16769,7.35769,0.240326,2.5,0.0577568,69.4024,-0.442592
